timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1694359021477,39,HTTP Request,200,OK,Thread Group 1-15,text,true,,1751,127,1,1,https://reqres.in/api/users?page=2,38,0,0
1694359021516,35,HTTP Request,200,OK,Thread Group 1-15,text,true,,1747,127,1,1,https://reqres.in/api/users?page=2,35,0,0
1694359021553,34,HTTP Request,200,OK,Thread Group 1-15,text,true,,1751,127,1,1,https://reqres.in/api/users?page=2,34,0,0
1694359021587,46,HTTP Request,200,OK,Thread Group 1-15,text,true,,1753,127,1,1,https://reqres.in/api/users?page=2,46,0,0
1694359021634,35,HTTP Request,200,OK,Thread Group 1-15,text,true,,1755,127,1,1,https://reqres.in/api/users?page=2,35,0,0
1694359021670,31,HTTP Request,200,OK,Thread Group 1-15,text,true,,1749,127,1,1,https://reqres.in/api/users?page=2,31,0,0
1694359022223,110,HTTP Request,200,OK,Thread Group 1-16,text,true,,1753,127,1,1,https://reqres.in/api/users?page=2,110,0,71
1694359022333,35,HTTP Request,200,OK,Thread Group 1-16,text,true,,1755,127,1,1,https://reqres.in/api/users?page=2,34,0,0
1694359022368,39,HTTP Request,200,OK,Thread Group 1-16,text,true,,1747,127,1,1,https://reqres.in/api/users?page=2,39,0,0
1694359022408,39,HTTP Request,200,OK,Thread Group 1-16,text,true,,1747,127,1,1,https://reqres.in/api/users?page=2,39,0,0
1694359022447,34,HTTP Request,200,OK,Thread Group 1-16,text,true,,1749,127,1,1,https://reqres.in/api/users?page=2,34,0,0
1694359022481,46,HTTP Request,200,OK,Thread Group 1-16,text,true,,1751,127,1,1,https://reqres.in/api/users?page=2,45,0,0
1694359022527,34,HTTP Request,200,OK,Thread Group 1-16,text,true,,1747,127,1,1,https://reqres.in/api/users?page=2,34,0,0
1694359022561,35,HTTP Request,200,OK,Thread Group 1-16,text,true,,1745,127,1,1,https://reqres.in/api/users?page=2,35,0,0
